source,task_id,description,target,priority,status,user_story,p_value,scope_note
ADR 0029,0029-003,Back-sync dataType uri on projectWebsite from engine fixture to grant-app,examples/grant-application/definition.json,high,NOT_DONE,"As a form author, I want dataType uri on projectWebsite from engine fixture to grant-app, so that the grant-app example stays consistent with the engine fixture.",P0,"Merge with M1 (0029-015, 0029-017, 0031-023). Fix also benchmark reference definition.json. Remove now-redundant x-formspec-url extension."
ADR 0029,0029-015,Back-sync timing demand on at least one shape from engine fixture,examples/grant-application/definition.json,high,NOT_DONE,"As a form author, I want timing demand on at least one shape from engine fixture, so that the grant-app example stays consistent with the engine fixture.",P0,"Merge with M1 (0029-003, 0029-017, 0031-023). Same websiteFormat shape carries timing AND message interpolation."
ADR 0029,0029-017,Back-sync shape message with expression interpolation from engine fixture,examples/grant-application/definition.json,high,NOT_DONE,"As a form author, I want shape message with expression interpolation from engine fixture, so that the grant-app example stays consistent with the engine fixture.",P0,Merge with M1 (0029-015). Share same websiteFormat shape. Verifying conformance test info:0 before/after.
ADR 0030,0030-032,Add pages with at least 2 Page objects to main theme.json,examples/grant-application/theme.json,high,NOT_DONE,"As a form author, I want to add pages with at least 2 Page objects to main theme.json, so that the examples is complete.",P0,"Merge with M2 (0030-033, 0030-034). Pages cannot exist without regions. Add pages WITH regions WITH responsive in one commit."
ADR 0030,0030-033,Add regions with at least 4 Region objects exercising key span start,examples/grant-application/theme.json,high,NOT_DONE,"As a form author, I want to add regions with at least 4 Region objects exercising key span start, so that the example demonstrates this feature.",P0,"Merged into M2 (0030-032). At least 4 regions across 2 pages, exercising span and start properties."
ADR 0030,0030-034,Add responsive on regions with breakpoint-keyed overrides,examples/grant-application/theme.json,high,NOT_DONE,"As a form author, I want to add responsive on regions with breakpoint-keyed overrides, so that the examples is complete.",P0,Merged into M2 (0030-032). Responsive overrides on at least 2 regions using existing breakpoints.
ADR 0031,0031-005,Create registry.json in examples/grant-application/,examples/grant-application/registry.json,high,NOT_DONE,"As a form author, I want to create registry.json in examples/grant-application/, so that the example set is complete.",P0,"Merge with M3 (PLAN-001, PLAN-002). No independent value — 11 tickets blocked on this. Ship skeleton that passes schema validation."
ADR 0031,0031-023,Add source instance with source URL and static true (gap from prior validation),examples/grant-application/definition.json,high,NOT_DONE,"As a form author, I want to add source instance with source URL and static true (gap from prior validation), so that the examples is complete.",P0,Merge with M1. Verify conformance tests handle source fetch failure gracefully (data field is fallback).
ADR 0040,0040-013,Wire outputSchema zod objects to all tools in server.ts,packages/formspec-mcp/src/server.ts,high,NOT_DONE,"As a spec author, I want to wire outputSchema zod objects to all tools in server.ts, so that the feature works end-to-end.",P0,Standalone P0. Bulk mechanical change across 49 tools. Each tool output is HelperResult or specialized shape.
ADR 0048,0048-012,Add formatNumber() as FEL built-in (validated gap),fel-core/src/stdlib/,high,NOT_DONE,"As a form author, I want to add formatNumber() as FEL built-in (validated gap), so that the fel-core is complete.",P0,Merge with M5 (0048-013). Add to new builtins/locale.rs. Implementations delegate to ICU4X or chrono.
